ep01,ep04,pi02,pv01,lm01,lm02,hs01,hs04,hs06,hs07,sex,age,iscd975,work,inc,miscd975,fiscd975,gkpol,hhinc,mstat,gd02,fe13,fe14,fe15,fe16,fe17,mc04,im18,xt10
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,FDP,AN 2 TAGEN,210.0,WENIGER GUT,MANCHMAL,MANCHMAL,MANCHMAL,FRAU,54.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",1188,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,1188,LEDIG,,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,,STIMME VOLL ZU,35.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,CDU-CSU,AN 5 TAGEN,90.0,ZUFRIEDENSTELLEND,,,,MANN,53.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",3250,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,3250,LEDIG,53,,,,,,JA,STIMME GAR NICHT ZU,74.0
TEILS TEILS,ETWAS BESSER,,CDU-CSU,AN 6 TAGEN,135.0,GUT,,,,FRAU,89.0,POST SECONDARY,NICHT ERWERBSTAETIG,,,UPPER SECONDARY,5.000  - 19.999 EINW,,VERWITWET,10,,,,,,NEIN,STIMME GAR NICHT ZU,75.0
GUT,WESENTLICH BESSER,SOZ.LEIST.AUSWEITEN,DIE LINKE,AN ALLEN 7 TAGEN,60.0,ZUFRIEDENSTELLEND,FAST NIE,NIE,MANCHMAL,MANN,79.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1438,LOWER SECONDARY,LOWER SECONDARY,2.000  -  4.999 EINW,2125,VERHEIRAT.ZUSAM.LEB.,,DRITTE STELLE,FUENFTE STELLE,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,,STIMME EHER NICHT ZU,795.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,,AN ALLEN 7 TAGEN,180.0,ZUFRIEDENSTELLEND,MANCHMAL,OFT,MANCHMAL,FRAU,62.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,KEIN EINKOMMEN,LOWER SECONDARY,LOWER SECONDARY,5.000  - 19.999 EINW,3250,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,65.0
GUT,ETWAS BESSER,,CDU-CSU,AN 5 TAGEN,45.0,GUT,OFT,MANCHMAL,MANCHMAL,MANN,23.0,,NICHT ERWERBSTAETIG,KEIN EINKOMMEN,UPPER SECONDARY,TERTIARY EDUCATION,100.000 - 499.999 E.,1438,LEDIG,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,ZWEITE STELLE,DRITTE STELLE,,STIMME GAR NICHT ZU,56.0
,,SOZ.LEIST.WIE BISHER,DIE GRUENEN,AN 3 TAGEN,30.0,SEHR GUT,IMMER,MANCHMAL,FAST NIE,FRAU,31.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",1900,TERTIARY EDUCATION,POST SECONDARY,500.000 UND MEHR E.,5000,LEDIG,9,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,42.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,SPD,AN ALLEN 7 TAGEN,,GUT,MANCHMAL,FAST NIE,FAST NIE,FRAU,57.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2125,UPPER SECONDARY,UPPER SECONDARY,BIS 1.999 EINWOHNER,3750,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,DRITTE STELLE,ZWEITE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,,STIMME EHER ZU,36.0
,,SOZ.LEIST.WIE BISHER,DIE LINKE,AN ALLEN 7 TAGEN,180.0,WENIGER GUT,FAST NIE,MANCHMAL,FAST NIE,MANN,68.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1300,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,1900,VERHEIRAT.ZUSAM.LEB.,46,,,AM WICHTIGSTEN,,,NEIN,STIMME EHER ZU,71.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,,AN ALLEN 7 TAGEN,180.0,ZUFRIEDENSTELLEND,OFT,FAST NIE,FAST NIE,FRAU,51.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",1625,LOWER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,,LEDIG,,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,47.0
GUT,GLEICHBLEIBEND,,CDU-CSU,AN 3 TAGEN,120.0,GUT,FAST NIE,OFT,OFT,MANN,57.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,356,,,2.000  -  4.999 EINW,350,VERWITWET,,ZWEITE STELLE,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,,STIMME EHER ZU,109.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,,AN ALLEN 7 TAGEN,450.0,WENIGER GUT,,,,MANN,85.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,2375,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,3250,VERHEIRAT.ZUSAM.LEB.,59,,,,,,,,10080.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,,AN 6 TAGEN,,ZUFRIEDENSTELLEND,OFT,MANCHMAL,OFT,FRAU,55.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",1625,LOWER SECONDARY,UPPER SECONDARY,,3250,VERHEIRAT.ZUSAM.LEB.,,ZWEITE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,DRITTE STELLE,,STIMME EHER NICHT ZU,
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,FDP,,10.0,GUT,OFT,MANCHMAL,MANCHMAL,MANN,26.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",1875,LOWER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,1875,LEDIG,,AM WICHTIGSTEN,FUENFTE STELLE,VIERTE STELLE,ZWEITE STELLE,DRITTE STELLE,,STIMME EHER NICHT ZU,11502.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,DIE LINKE,AN 2 TAGEN,120.0,ZUFRIEDENSTELLEND,MANCHMAL,FAST NIE,MANCHMAL,MANN,38.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2375,BASIC EDUCATION,TERTIARY EDUCATION,500.000 UND MEHR E.,2375,GESCHIEDEN,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME VOLL ZU,25.0
,,SOZ.LEIST.KUERZEN,,SELTENER,,WENIGER GUT,OFT,MANCHMAL,FAST NIE,FRAU,58.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",1625,UPPER SECONDARY,UPPER SECONDARY,100.000 - 499.999 E.,2125,VERHEIRAT.ZUSAM.LEB.,58,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME GAR NICHT ZU,63.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,SPD,AN ALLEN 7 TAGEN,240.0,WENIGER GUT,,,,MANN,54.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2375,LOWER SECONDARY,UPPER SECONDARY,BIS 1.999 EINWOHNER,3250,GESCHIEDEN,7,,,,,,JA,STIMME EHER NICHT ZU,90.0
,,SOZ.LEIST.WIE BISHER,DIE GRUENEN,AN 6 TAGEN,210.0,GUT,OFT,OFT,MANCHMAL,MANN,45.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",3750,UPPER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,3750,VERHEIRAT.ZUSAM.LEB.,11,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER NICHT ZU,12.0
,,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN 4 TAGEN,90.0,GUT,OFT,MANCHMAL,FAST NIE,MANN,49.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2375,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,2375,LEDIG,9,DRITTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,JA,STIMME VOLL ZU,25.0
,,,DIE GRUENEN,AN 5 TAGEN,90.0,SEHR GUT,MANCHMAL,OFT,MANCHMAL,MANN,26.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2400,POST SECONDARY,POST SECONDARY,500.000 UND MEHR E.,2400,LEDIG,2,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER NICHT ZU,40.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,CDU-CSU,AN ALLEN 7 TAGEN,120.0,ZUFRIEDENSTELLEND,,,,FRAU,83.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,4000,UPPER SECONDARY,UPPER SECONDARY,100.000 - 499.999 E.,4000,VERWITWET,36,,,,,,JA,STIMME EHER NICHT ZU,34.0
GUT,ETWAS BESSER,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN EINEM TAG,90.0,SEHR GUT,OFT,MANCHMAL,OFT,MANN,48.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",4500,TERTIARY EDUCATION,UPPER SECONDARY,5.000  - 19.999 EINW,6000,VERHEIRAT.ZUSAM.LEB.,,,,AM WICHTIGSTEN,,ZWEITE STELLE,,STIMME EHER ZU,47.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,,AN 5 TAGEN,150.0,ZUFRIEDENSTELLEND,,,,FRAU,48.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",2625,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,2625,LEDIG,48,,,,,,JA,STIMME GAR NICHT ZU,40.0
,,SOZ.LEIST.WIE BISHER,SPD,AN ALLEN 7 TAGEN,300.0,ZUFRIEDENSTELLEND,MANCHMAL,OFT,OFT,FRAU,73.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1300,UPPER SECONDARY,UPPER SECONDARY,2.000  -  4.999 EINW,1300,VERHEIRAT.ZUSAM.LEB.,52,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER NICHT ZU,60.0
SCHLECHT,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,AFD,AN ALLEN 7 TAGEN,1260.0,ZUFRIEDENSTELLEND,,,,MANN,62.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1875,UPPER SECONDARY,TERTIARY EDUCATION,20.000 - 49.999 EINW,2375,VERHEIRAT.ZUSAM.LEB.,60,,,,,,NEIN,STIMME GAR NICHT ZU,77.0
,,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,,120.0,ZUFRIEDENSTELLEND,OFT,MANCHMAL,MANCHMAL,MANN,25.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2875,UPPER SECONDARY,,20.000 - 49.999 EINW,2875,LEDIG,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,
TEILS TEILS,ETWAS BESSER,SOZ.LEIST.AUSWEITEN,CDU-CSU,AN ALLEN 7 TAGEN,240.0,GUT,,,,MANN,54.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2500,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,2500,LEDIG,24,,,,,,JA,STIMME EHER NICHT ZU,44.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,CDU-CSU,AN 2 TAGEN,180.0,GUT,MANCHMAL,OFT,MANCHMAL,FRAU,54.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2625,,,5.000  - 19.999 EINW,3750,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,85.0
,,,AFD,AN ALLEN 7 TAGEN,150.0,GUT,OFT,MANCHMAL,MANCHMAL,MANN,51.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1500,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,2500,VERHEIRAT.ZUSAM.LEB.,51,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,NEIN,STIMME VOLL ZU,35.0
SCHLECHT,WESENTL. SCHLECHTER,,ANDERE PARTEI,AN 4 TAGEN,120.0,ZUFRIEDENSTELLEND,OFT,MANCHMAL,MANCHMAL,FRAU,60.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",1625,UPPER SECONDARY,UPPER SECONDARY,BIS 1.999 EINWOHNER,4750,VERHEIRAT.ZUSAM.LEB.,,DRITTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,
,,SOZ.LEIST.WIE BISHER,SPD,AN 3 TAGEN,180.0,GUT,FAST NIE,OFT,OFT,MANN,49.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2875,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,5500,VERHEIRAT.ZUSAM.LEB.,49,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER NICHT ZU,60.0
,,SOZ.LEIST.KUERZEN,SPD,AN ALLEN 7 TAGEN,150.0,WENIGER GUT,MANCHMAL,OFT,MANCHMAL,FRAU,57.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,KEIN EINKOMMEN,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,2375,VERHEIRAT.ZUSAM.LEB.,32,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER NICHT ZU,35.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,,AN ALLEN 7 TAGEN,300.0,GUT,,,,MANN,58.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",4700,TERTIARY EDUCATION,UPPER SECONDARY,20.000 - 49.999 EINW,6100,VERHEIRAT.ZUSAM.LEB.,26,,,,,,JA,STIMME VOLL ZU,60.0
,,SOZ.LEIST.AUSWEITEN,,AN ALLEN 7 TAGEN,120.0,GUT,OFT,FAST NIE,MANCHMAL,FRAU,58.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2625,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,3250,VERHEIRAT.ZUSAM.LEB.,58,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER NICHT ZU,42.0
TEILS TEILS,WESENTL. SCHLECHTER,SOZ.LEIST.KUERZEN,AFD,AN EINEM TAG,60.0,ZUFRIEDENSTELLEND,,,,FRAU,39.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",1875,UPPER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,3750,VERHEIRAT.ZUSAM.LEB.,13,,,,,,JA,STIMME VOLL ZU,120.0
,,SOZ.LEIST.AUSWEITEN,SPD,AN ALLEN 7 TAGEN,120.0,GUT,MANCHMAL,MANCHMAL,MANCHMAL,MANN,82.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,,LOWER SECONDARY,LOWER SECONDARY,BIS 1.999 EINWOHNER,,VERHEIRAT.ZUSAM.LEB.,51,VIERTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,NEIN,STIMME VOLL ZU,60.0
TEILS TEILS,WESENTL. SCHLECHTER,SOZ.LEIST.WIE BISHER,ANDERE PARTEI,AN ALLEN 7 TAGEN,240.0,ZUFRIEDENSTELLEND,MANCHMAL,MANCHMAL,MANCHMAL,FRAU,77.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,1875,LOWER SECONDARY,UPPER SECONDARY,100.000 - 499.999 E.,1875,VERWITWET,,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,FUENFTE STELLE,DRITTE STELLE,,STIMME EHER NICHT ZU,4200.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,FDP,AN 6 TAGEN,120.0,GUT,MANCHMAL,OFT,OFT,MANN,79.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,5500,TERTIARY EDUCATION,TERTIARY EDUCATION,5.000  - 19.999 EINW,5500,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME GAR NICHT ZU,75.0
GUT,ETWAS SCHLECHTER,,,AN ALLEN 7 TAGEN,539.0,,,,,FRAU,22.0,,,,,,100.000 - 499.999 E.,,,,DRITTE STELLE,VIERTE STELLE,ZWEITE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,,STIMME EHER NICHT ZU,579.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,FDP,AN ALLEN 7 TAGEN,150.0,ZUFRIEDENSTELLEND,MANCHMAL,OFT,MANCHMAL,MANN,77.0,UPPER SECONDARY,,3250,UPPER SECONDARY,TERTIARY EDUCATION,100.000 - 499.999 E.,3500,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,64.0
